track_id,error_category,axes,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_F,default_CMLt,default_AMLt,delta_F,F_lam1,F_lam2,F_lam5,F_lam10,F_lam20,F_lam30,F_lam50,F_lam75,F_lam100,F_lam150,F_lam200,F_lam300,F_lam500
smc_001,other,Weak beat cues;Tempo instability,1,0.4150943396226415,0.02564102564102564,0.02564102564102564,0.39285714285714285,0.0,0.0,0.022237196765498624,0.4150943396226415,0.40740740740740744,0.39285714285714285,0.39285714285714285,0.3893805309734514,0.3893805309734514,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.4107142857142857,0.4107142857142857
smc_002,other,Weak beat cues;Tempo instability;Metrical ambiguity,5,0.46052631578947373,0.0,0.0,0.46052631578947373,0.0,0.0,0.0,0.4489795918367347,0.4533333333333333,0.46052631578947373,0.46052631578947373,0.46052631578947373,0.46052631578947373,0.46052631578947373,0.46052631578947373,0.46052631578947373,0.44736842105263164,0.45637583892617445,0.4503311258278146,0.46052631578947373
smc_003,other,Tempo instability;Structural/context,300,0.5210084033613445,0.0,0.6790123456790124,0.45,0.0,0.5853658536585366,0.07100840336134445,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.46956521739130436,0.4406779661016949,0.46666666666666673,0.4833333333333333,0.45,0.45,0.4873949579831933,0.4705882352941177,0.5210084033613445,0.4369747899159664
smc_004,continuity_drift,Tempo instability;Structural/context,20,0.5974025974025974,0.25,0.25,0.4615384615384615,0.36363636363636365,0.36363636363636365,0.13586413586413587,0.5384615384615385,0.5384615384615385,0.5789473684210527,0.5714285714285715,0.5974025974025974,0.5753424657534246,0.5797101449275361,0.5507246376811594,0.4615384615384615,0.37142857142857144,0.37142857142857144,0.3943661971830986,0.3098591549295775
smc_005,octave_error,Weak beat cues;Tempo instability;Metrical ambiguity,1,0.3174603174603175,0.15,0.5777777777777777,0.2898550724637681,0.0,0.782608695652174,0.027605244996549372,0.3174603174603175,0.3174603174603175,0.2985074626865672,0.2985074626865672,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.2898550724637681
smc_006,good,Tempo instability,75,0.8125000000000001,0.5,0.5,0.7999999999999999,0.4722222222222222,0.4722222222222222,0.012500000000000178,0.7999999999999999,0.7999999999999999,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.8059701492537312,0.8059701492537312,0.8125000000000001,0.7999999999999999,0.7999999999999999,0.7887323943661971,0.7384615384615385,0.7076923076923076
smc_007,other,Weak beat cues;Tempo instability;Metrical ambiguity;Structural/context,20,0.5901639344262295,0.7096774193548387,0.7096774193548387,0.5901639344262295,0.7741935483870968,0.7741935483870968,0.0,0.5625,0.5625,0.5625,0.5625,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295,0.5901639344262295
smc_008,other,Metrical ambiguity,1,0.4545454545454546,0.05063291139240506,0.09433962264150944,0.3939393939393939,0.0,0.0,0.06060606060606066,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.40909090909090906,0.40909090909090906,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939
smc_009,other,Weak beat cues,1,0.45801526717557256,0.0,0.0,0.45801526717557256,0.0,0.0,0.0,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256,0.45801526717557256
smc_010,good,Tempo instability;Metrical ambiguity,1,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
