track_id,error_category,gt_bpm,optimal_lambda,optimal_F,optimal_CMLt,optimal_AMLt,default_lambda_F,default_lambda_CMLt,default_lambda_AMLt
smc_079,other,193.55,5,0.8818,0.7679,0.7679,0.861,0.7565,0.7565
smc_080,other,35.41,1,0.1538,0.1,0.2,0.0513,0.05,0.25
smc_082,good,115.38,1,0.9268,0.803,0.803,0.9268,0.803,0.803
smc_084,total_failure,44.22,20,0.24,0.44,0.44,0.0741,0.2414,0.2414
smc_085,octave_error,55.05,1,0.3125,0.6562,0.6562,0.3125,0.6875,0.6875
smc_086,good,69.43,50,0.85,0.825,0.825,0.8,0.75,0.75
smc_087,good,103.9,1,0.8926,0.9836,0.9836,0.8926,0.9836,0.9836
smc_088,continuity_drift,60.36,200,0.5217,0.8,0.8,0.4118,0.7941,0.7941
smc_089,continuity_drift,84.63,2,0.78,0.96,0.96,0.76,0.96,0.96
smc_092,other,128.85,10,0.953,0.9467,0.9467,0.9396,0.92,0.92
smc_093,continuity_drift,131.29,150,0.9404,0.9079,0.9079,0.9139,0.8816,0.8816
smc_095,good,80.86,1,0.8298,0.9787,0.9787,0.8298,1.0,1.0
smc_096,good,107.14,500,1.0,1.0,1.0,0.9839,1.0,1.0
smc_098,other,101.69,10,0.5,0.4915,0.4915,0.4815,0.4746,0.4746
smc_099,octave_error,56.55,1,0.5758,0.9394,0.9394,0.5758,0.9394,0.9394
smc_100,other,63.83,500,0.5946,0.8919,0.8919,0.5135,0.5405,0.5405
smc_101,other,115.23,5,0.7642,0.6562,0.6562,0.6281,0.5484,0.5484
smc_103,other,109.09,1,0.4912,0.35,0.35,0.4561,0.4167,0.4167
smc_104,other,67.49,500,0.9487,1.0,1.0,0.3158,0.2821,0.5263
smc_105,total_failure,129.31,150,0.3358,0.2055,0.2055,0.25,0.1096,0.1096
smc_106,other,62.18,500,0.5833,0.8333,0.8333,0.5556,0.8333,0.8333
smc_109,other,65.5,300,0.4211,0.6579,0.6579,0.2368,0.3947,0.3947
smc_111,other,93.02,5,0.5941,0.4528,0.4528,0.4356,0.283,0.283
smc_113,other,45.8,1,0.9259,1.0,1.0,0.9259,1.0,1.0
smc_114,other,61.16,1,0.5676,0.5789,0.5789,0.48,0.5526,0.5526
smc_116,total_failure,68.65,150,0.2667,0.2564,0.2564,0.24,0.2051,0.2051
smc_117,continuity_drift,59.94,1,0.5714,0.7429,0.7429,0.4,0.5143,0.5143
smc_118,other,60.01,1,0.3333,0.2727,0.2727,0.2857,0.2121,0.2121
smc_119,other,56.87,1,0.5625,1.0,1.0,0.5625,1.0,1.0
smc_120,good,92.45,1,0.972,0.9815,0.9815,0.972,0.9815,0.9815
smc_121,other,34.12,150,0.35,0.55,0.55,0.3,0.55,0.55
smc_124,octave_error,65.79,500,0.5526,0.9737,0.9737,0.4737,0.9474,0.9474
smc_126,good,64.86,1,0.9474,0.9737,0.9737,0.9474,0.9737,0.9737
smc_127,other,59.65,20,0.4571,0.0513,0.1803,0.4286,0.0513,0.1475
smc_130,other,45.02,1,0.28,0.16,0.2,0.1667,0.0,0.25
smc_133,other,66.37,1,0.8158,0.9737,0.9737,0.8158,0.9737,0.9737
smc_135,good,76.19,150,0.75,0.7174,0.7174,0.7356,0.6739,0.6739
smc_137,good,125.39,150,0.7671,0.68,0.68,0.7619,0.6667,0.6667
smc_139,octave_error,41.1,1,0.7391,1.0,1.0,0.7391,1.0,1.0
smc_140,continuity_drift,98.85,50,0.4786,0.2167,0.2167,0.4615,0.2,0.2
smc_142,other,80.09,100,0.5747,0.6818,0.6818,0.5747,0.6818,0.6818
smc_143,octave_error,87.08,1,0.5437,0.8654,0.8654,0.5437,0.8846,0.8846
smc_146,other,58.54,10,0.597,0.8235,0.8235,0.5373,0.7353,0.7353
smc_147,continuity_drift,99.32,1,0.8793,0.9655,0.9655,0.8621,0.9655,0.9655
smc_148,total_failure,70.92,2,0.241,0.2791,0.2791,0.1687,0.3721,0.3721
smc_149,other,73.18,20,0.4318,0.4,0.4,0.3913,0.3061,0.3061
smc_150,good,113.85,150,0.9846,0.9545,0.9545,0.9771,0.9403,0.9403
smc_151,continuity_drift,138.89,1,0.8333,0.7975,0.7975,0.7898,0.7875,0.7875
smc_152,other,84.03,30,0.6809,0.6667,0.6667,0.617,0.6667,0.6667
smc_153,other,96.22,1,0.0,0.0,0.9643,0.0,0.0,0.9643
smc_154,other,56.18,75,0.5,0.6562,0.6562,0.5,0.6562,0.6562
smc_157,continuity_drift,78.64,5,0.6742,0.9333,0.9333,0.6517,0.9333,0.9333
smc_158,total_failure,42.36,30,0.25,0.2,0.2,0.2449,0.1154,0.1538
smc_159,octave_error,95.56,1,0.7593,0.8889,0.8889,0.6481,0.7778,0.7778
smc_161,other,61.22,20,0.7429,0.9714,0.9714,0.7143,0.9714,0.9714
smc_166,good,80.65,200,0.913,1.0,1.0,0.8478,1.0,1.0
smc_167,other,35.9,50,0.5714,1.0,1.0,0.5714,1.0,1.0
