track_id,F,CMLt,AMLt
smc_001,1.0,1.0,1.0
smc_002,1.0,1.0,1.0
smc_003,0.868421052631579,0.9736842105263158,0.9736842105263158
smc_004,0.7272727272727273,0.8484848484848485,0.8484848484848485
smc_005,0.9130434782608695,1.0,1.0
smc_006,0.6562499999999999,0.5833333333333334,0.5833333333333334
smc_007,0.9333333333333333,1.0,1.0
smc_008,1.0,1.0,1.0
smc_009,1.0,1.0,1.0
smc_010,1.0,1.0,1.0
smc_011,0.5277777777777779,0.0196078431372549,0.2
smc_012,1.0,1.0,1.0
smc_013,1.0,1.0,1.0
smc_014,1.0,1.0,1.0
smc_015,0.8571428571428571,1.0,1.0
smc_016,0.9512195121951219,1.0,1.0
smc_017,1.0,1.0,1.0
smc_018,0.9591836734693877,1.0,1.0
smc_019,1.0,1.0,1.0
smc_021,1.0,1.0,1.0
smc_022,0.6388888888888888,0.6052631578947368,0.6052631578947368
smc_023,1.0,1.0,1.0
smc_024,0.8516129032258064,0.8125,0.8125
smc_026,0.9655172413793104,1.0,1.0
smc_027,0.9459459459459459,1.0,1.0
smc_028,0.7547169811320754,0.45161290322580644,0.45161290322580644
smc_030,0.9957081545064378,0.9658119658119658,0.9658119658119658
smc_032,0.9814814814814815,0.9814814814814815,0.9814814814814815
smc_033,0.9433962264150944,0.9433962264150944,0.9433962264150944
smc_034,0.972972972972973,1.0,1.0
smc_035,1.0,1.0,1.0
smc_036,1.0,1.0,1.0
smc_037,0.8529411764705882,1.0,1.0
smc_038,0.9444444444444444,1.0,1.0
smc_041,1.0,1.0,1.0
smc_042,1.0,1.0,1.0
smc_043,0.6236559139784946,0.54,0.54
smc_044,0.9069767441860465,0.9767441860465116,0.9767441860465116
smc_046,1.0,1.0,1.0
smc_047,0.9803921568627451,1.0,1.0
smc_048,0.9,1.0,1.0
smc_051,1.0,1.0,1.0
smc_052,0.8679245283018869,0.9622641509433962,0.9622641509433962
smc_054,0.9859154929577464,0.9722222222222222,0.9722222222222222
smc_055,0.9743589743589743,1.0,1.0
smc_056,0.9747899159663865,0.9833333333333333,0.9833333333333333
smc_057,0.9142857142857143,0.9714285714285714,0.9714285714285714
smc_058,0.9166666666666666,1.0,1.0
smc_059,1.0,1.0,1.0
smc_060,1.0,1.0,1.0
smc_061,0.9565217391304348,1.0,1.0
smc_063,1.0,1.0,1.0
smc_064,1.0,1.0,1.0
smc_065,1.0,1.0,1.0
smc_066,0.9629629629629629,1.0,1.0
smc_067,0.98,1.0,1.0
smc_068,1.0,1.0,1.0
smc_069,0.7291666666666665,0.7708333333333334,0.7708333333333334
smc_071,0.9782608695652174,1.0,1.0
smc_072,0.9743589743589743,0.9743589743589743,0.9743589743589743
smc_073,1.0,1.0,1.0
smc_074,0.8490566037735849,0.9056603773584906,0.9056603773584906
smc_075,1.0,1.0,1.0
smc_076,0.9894736842105264,0.9791666666666666,0.9791666666666666
smc_079,0.7373737373737375,0.5555555555555556,0.5555555555555556
smc_080,0.6976744186046512,0.625,0.625
smc_082,0.9655172413793103,0.9322033898305084,0.9322033898305084
smc_084,1.0,1.0,1.0
smc_085,0.96875,1.0,1.0
smc_086,0.75,0.55,0.55
smc_087,0.9917355371900827,0.9836065573770492,0.9836065573770492
smc_088,0.9411764705882353,0.9411764705882353,0.9411764705882353
smc_089,0.98,1.0,1.0
smc_092,0.9459459459459459,0.9324324324324325,0.9324324324324325
smc_093,1.0,0.9736842105263158,0.9736842105263158
smc_095,1.0,1.0,1.0
smc_096,1.0,1.0,1.0
smc_098,0.897196261682243,0.8103448275862069,0.8103448275862069
smc_099,0.9696969696969697,1.0,1.0
smc_100,0.9459459459459459,1.0,1.0
smc_101,0.9016393442622951,0.8253968253968254,0.8253968253968254
smc_103,0.5316455696202531,0.05555555555555555,0.25925925925925924
smc_104,1.0,1.0,1.0
smc_105,0.9726027397260274,0.9863013698630136,0.9863013698630136
smc_106,0.9166666666666666,0.9722222222222222,0.9722222222222222
smc_109,1.0,1.0,1.0
smc_111,0.5294117647058825,0.0,0.2916666666666667
smc_113,1.0,1.0,1.0
smc_114,0.9473684210526315,0.9210526315789473,0.9210526315789473
smc_116,0.8974358974358975,0.9743589743589743,0.9743589743589743
smc_117,0.8285714285714286,0.9142857142857143,0.9142857142857143
smc_118,0.9090909090909091,0.9393939393939394,0.9393939393939394
smc_119,1.0,1.0,1.0
smc_120,0.9811320754716981,0.9811320754716981,0.9811320754716981
smc_121,0.9,1.0,1.0
smc_124,1.0,1.0,1.0
smc_126,1.0,1.0,1.0
smc_127,0.7741935483870968,0.7741935483870968,0.7741935483870968
smc_130,0.5833333333333334,0.44,0.44
smc_133,1.0,1.0,1.0
smc_135,0.9782608695652174,0.9565217391304348,0.9565217391304348
smc_137,0.9866666666666668,1.0,1.0
smc_139,1.0,1.0,1.0
smc_140,0.9833333333333333,0.9833333333333333,0.9833333333333333
smc_142,0.8048780487804877,0.627906976744186,0.627906976744186
smc_143,1.0,1.0,1.0
smc_146,0.8484848484848486,1.0,1.0
smc_147,1.0,1.0,1.0
smc_148,0.9767441860465116,1.0,1.0
smc_149,0.9534883720930233,0.9767441860465116,0.9767441860465116
smc_150,0.9393939393939394,0.8970588235294118,0.8970588235294118
smc_151,1.0,1.0,1.0
smc_152,0.7708333333333333,0.7916666666666666,0.7916666666666666
smc_153,0.972972972972973,0.9821428571428571,0.9821428571428571
smc_154,0.90625,1.0,1.0
smc_157,0.9887640449438202,0.9777777777777777,0.9777777777777777
smc_158,0.68,0.7407407407407407,0.7407407407407407
smc_159,0.8518518518518519,0.8888888888888888,0.8888888888888888
smc_161,0.9428571428571428,1.0,1.0
smc_166,0.9782608695652174,1.0,1.0
