track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_114,3,0.981,1.0,1.0,1.0,correct,0.597,0.597,0.0,0.3396,0.4421,0.597,original,0.4474,0.4474
smc_116,6,0.874,0.24,0.62,0.3871,other,0.2674,0.2674,0.0,0.2476,0.2033,0.2674,original,0.0075,0.0075
smc_117,5,1.001,0.92,0.9,1.0222,correct,0.6479,0.6479,0.0,0.566,0.4528,0.6479,original,0.6389,0.6389
smc_118,1,0.9998,0.6,0.54,1.1111,correct,0.3077,0.3077,0.0,0.3226,0.2685,0.3226,subsample,0.1034,0.1692
smc_119,7,1.055,0.4,1.02,0.3922,other,0.3908,0.3908,0.0,0.2712,0.2817,0.3908,original,0.3273,0.3273
smc_120,6,0.649,0.64,0.64,1.0,correct,0.972,0.972,0.0,0.675,0.646,0.972,original,0.9815,0.9815
smc_121,3,1.7586,0.93,0.84,1.1071,correct,0.32,0.32,0.0,0.4,0.2,0.4,subsample,0.3333,0.3846
smc_124,3,0.912,0.92,0.92,1.0,correct,0.4935,0.4935,0.0,0.3509,0.3276,0.4935,original,0.9231,0.9231
smc_126,4,0.925,0.92,0.92,1.0,correct,0.9474,0.9474,0.0,0.6316,0.6372,0.9474,original,0.9737,0.9737
smc_127,4,1.0059,0.88,0.86,1.0233,correct,0.4923,0.4923,0.0,0.2083,0.3232,0.4923,original,0.1471,0.2295
smc_130,1,1.3326,0.76,0.94,0.8085,correct,0.4225,0.4225,0.0,0.4167,0.3419,0.4225,original,0.1522,0.1522
smc_133,6,0.904,0.9,0.9,1.0,correct,0.7895,0.7895,0.0,0.5614,0.5263,0.7895,original,0.9737,0.9737
smc_135,0,0.7875,0.82,0.8,1.025,correct,0.8409,0.8409,0.0,0.5672,0.6357,0.8409,original,0.6739,0.6739
smc_137,3,0.4785,0.42,0.5,0.84,correct,0.8364,0.8364,0.0,0.5333,0.5569,0.8364,original,0.6667,0.6667
smc_139,3,1.46,0.73,0.74,0.9865,correct,0.507,0.507,0.0,0.2128,0.3051,0.507,original,0.0417,0.8125
smc_140,3,0.607,0.62,0.7,0.8857,correct,0.6491,0.6491,0.0,0.3678,0.503,0.6491,original,0.55,0.55
smc_142,1,0.7491,0.76,0.76,1.0,correct,0.6133,0.6133,0.0,0.4068,0.5234,0.6133,original,0.4884,0.4884
smc_143,2,0.689,0.68,0.68,1.0,correct,0.5385,0.5385,0.0,0.3846,0.359,0.5385,original,0.8462,0.8462
smc_146,7,1.025,1.04,1.04,1.0,correct,0.6769,0.6769,0.0,0.449,0.4583,0.6769,original,0.8485,0.8485
smc_147,3,0.6041,0.32,0.6,0.5333,double,0.705,0.551,-0.154,0.551,0.4545,0.705,original,0.3827,0.3827
smc_148,7,0.846,0.92,0.9,1.0222,correct,0.1404,0.1404,0.0,0.12,0.2286,0.2286,interpolate,0.0,0.119
smc_149,4,0.8199,0.36,0.36,1.0,correct,0.4161,0.4161,0.0,0.375,0.3137,0.4161,original,0.0,0.3396
smc_150,0,0.527,0.52,0.52,1.0,correct,0.9697,0.9697,0.0,0.6531,0.64,0.9697,original,0.9118,0.9118
smc_151,7,0.432,0.7,0.42,1.6667,half,0.6984,0.7011,0.0027,0.4356,0.7011,0.7011,interpolate,0.3117,0.3117
smc_152,6,0.714,2.11,0.98,2.1531,half,0.5,0.4051,-0.0949,0.2857,0.4051,0.5,original,0.0,0.0
smc_153,7,0.6236,0.62,0.62,1.0,correct,0.313,0.313,0.0,0.2353,0.5402,0.5402,interpolate,0.1667,0.5
smc_154,6,1.0681,1.08,0.7,1.5429,half,0.4444,0.3617,-0.0827,0.383,0.3617,0.4444,original,0.1562,0.1562
smc_157,1,0.763,0.76,0.76,1.0,correct,0.6591,0.6591,0.0,0.3636,0.4545,0.6591,original,0.9091,0.9091
smc_158,6,1.4164,0.8,0.88,0.9091,correct,0.2182,0.2182,0.0,0.1026,0.2529,0.2529,interpolate,0.0312,0.0889
smc_159,7,0.6279,1.28,1.24,1.0323,correct,0.4444,0.4444,0.0,0.2941,0.6852,0.6852,interpolate,0.0,1.0
smc_161,6,0.98,0.98,0.98,1.0,correct,0.6957,0.6957,0.0,0.4231,0.4854,0.6957,original,0.9429,0.9429
smc_166,3,0.744,0.74,0.74,1.0,correct,0.8478,0.8478,0.0,0.5797,0.5693,0.8478,original,1.0,1.0
smc_167,1,1.6712,1.56,1.5,1.04,correct,0.5333,0.5333,0.0,0.3636,0.3529,0.5333,original,0.7083,0.7083
smc_168,0,1.763,0.86,0.9,0.9556,correct,0.3,0.3,0.0,0.3,0.1782,0.3,original,0.0244,0.6098
smc_169,1,0.353,0.54,1.06,0.5094,double,0.5616,0.3443,-0.2174,0.3443,0.5128,0.5616,original,0.1649,0.1649
smc_170,6,0.816,0.82,0.82,1.0,correct,0.8372,0.8372,0.0,0.5625,0.5581,0.8372,original,1.0,1.0
smc_171,0,1.14,0.58,0.58,1.0,correct,0.4946,0.4946,0.0,0.623,0.3097,0.623,subsample,0.0,0.8254
smc_172,3,0.78,0.52,0.78,0.6667,double,0.5,0.325,-0.175,0.325,0.3743,0.5,original,0.1806,0.1806
smc_173,5,1.464,0.72,0.74,0.973,correct,0.5946,0.5946,0.0,0.3673,0.3548,0.5946,original,0.0,0.92
smc_174,1,0.7345,0.64,0.66,0.9697,correct,0.28,0.28,0.0,0.137,0.3247,0.3247,interpolate,0.1852,0.1852
smc_175,4,1.6834,1.0,0.88,1.1364,correct,0.2381,0.2381,0.0,0.0667,0.1538,0.2381,original,0.3333,0.3333
smc_176,5,0.7435,1.15,1.14,1.0088,correct,0.3429,0.3429,0.0,0.1404,0.3579,0.3579,interpolate,0.0889,0.0889
smc_178,2,1.625,1.62,1.5,1.08,correct,0.8571,0.8571,0.0,0.5161,0.5714,0.8571,original,1.0,1.0
smc_179,0,1.44,0.79,0.72,1.0972,correct,0.6038,0.6038,0.0,0.2703,0.3765,0.6038,original,0.2188,0.4634
smc_181,5,0.973,0.33,0.32,1.0313,correct,0.3359,0.3359,0.0,0.2927,0.2096,0.3359,original,0.0,0.0
smc_182,7,0.841,0.84,0.84,1.0,correct,0.8193,0.8193,0.0,0.5806,0.5484,0.8193,original,0.9762,0.9762
smc_184,6,0.9878,0.99,1.0,0.99,correct,0.8308,0.8308,0.0,0.4898,0.5833,0.8308,original,0.8824,0.8824
smc_187,6,1.8344,0.89,1.0,0.89,correct,0.3396,0.3396,0.0,0.3333,0.2299,0.3396,original,0.3235,0.3235
smc_188,0,1.254,1.26,1.26,1.0,correct,0.9091,0.9091,0.0,0.6341,0.642,0.9091,original,0.8571,0.8571
smc_190,0,1.08,0.56,1.08,0.5185,double,0.4819,0.3571,-0.1248,0.3571,0.2941,0.4819,original,0.1321,0.3898
smc_192,7,1.823,1.68,0.88,1.9091,half,0.2857,0.1961,-0.0896,0.1538,0.1961,0.2857,original,0.4444,0.4444
smc_193,7,0.8283,0.84,0.84,1.0,correct,0.8706,0.8706,0.0,0.5938,0.5827,0.8706,original,0.8837,0.8837
smc_194,5,1.0335,1.94,0.84,2.3095,half,0.2449,0.2258,-0.0191,0.0952,0.2258,0.2449,original,0.0,0.1176
smc_195,7,0.3438,0.68,0.66,1.0303,correct,0.3544,0.3544,0.0,0.2456,0.4715,0.4715,interpolate,0.0,0.3864
smc_197,0,1.6342,1.62,1.5,1.08,correct,0.4286,0.4286,0.0,0.25,0.2857,0.4286,original,1.0,1.0
smc_198,1,0.6,0.56,1.16,0.4828,double,0.7227,0.5647,-0.158,0.5647,0.4706,0.7227,original,0.5797,0.5797
smc_199,2,0.785,0.49,0.88,0.5568,double,0.3579,0.3284,-0.0295,0.3284,0.2416,0.3579,original,0.2364,0.2364
smc_202,2,1.078,1.04,1.06,0.9811,correct,0.2188,0.2188,0.0,0.1667,0.2526,0.2526,interpolate,0.25,0.25
smc_203,4,0.8726,0.6,0.62,0.9677,correct,0.25,0.25,0.0,0.1944,0.2738,0.2738,interpolate,0.0,0.013
smc_204,5,0.6065,0.62,0.62,1.0,correct,0.3063,0.3063,0.0,0.241,0.3473,0.3473,interpolate,0.1228,0.1228
smc_205,7,0.762,0.76,0.76,1.0,correct,0.8636,0.8636,0.0,0.6154,0.5821,0.8636,original,0.7826,0.7826
smc_206,3,0.836,0.78,0.78,1.0,correct,0.64,0.64,0.0,0.4444,0.4655,0.64,original,0.5122,0.5122
smc_207,3,0.5276,0.52,0.52,1.0,correct,0.9552,0.9552,0.0,0.6535,0.64,0.9552,original,1.0,1.0
smc_208,0,1.1005,1.1,1.1,1.0,correct,0.8125,0.8125,0.0,0.5957,0.5417,0.8125,original,0.8788,0.8788
smc_209,4,0.822,0.8,0.8,1.0,correct,0.642,0.642,0.0,0.4,0.4262,0.642,original,0.8537,0.8537
smc_211,7,0.7165,0.74,0.74,1.0,correct,0.5647,0.5647,0.0,0.2985,0.4132,0.5647,original,0.6327,0.6327
smc_212,0,1.48,1.26,1.24,1.0161,correct,0.4783,0.4783,0.0,0.4,0.3235,0.4783,original,0.5,0.5
