track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_023,7,1.71,0.88,0.86,1.0233,correct,0.6667,0.6667,0.0,0.3415,0.4286,0.6667,original,0.0513,0.8049
smc_024,7,0.364,0.66,0.7,0.9429,correct,0.72,0.72,0.0,0.44,0.7886,0.7886,interpolate,0.2267,0.42
smc_026,1,1.158,1.16,1.16,1.0,correct,0.7458,0.7458,0.0,0.5455,0.4944,0.7458,original,0.9333,0.9333
smc_027,1,0.9405,0.6,0.94,0.6383,double,0.5682,0.3548,-0.2133,0.3548,0.3768,0.5682,original,0.3922,0.3922
smc_028,6,0.512,0.98,0.96,1.0208,correct,0.4255,0.4255,0.0,0.2821,0.576,0.576,interpolate,0.0161,0.7188
smc_030,4,0.3,0.3,0.3,1.0,correct,0.9407,0.9407,0.0,0.6364,0.6404,0.9407,original,0.825,0.825
smc_032,5,0.673,0.5,0.98,0.5102,double,0.6118,0.3768,-0.235,0.3768,0.4696,0.6118,original,0.5,0.5
smc_033,3,0.6457,0.61,0.62,0.9839,correct,0.7027,0.7027,0.0,0.4878,0.4852,0.7027,original,0.7069,0.7069
smc_034,5,0.9465,0.96,0.96,1.0,correct,0.9459,0.9459,0.0,0.6071,0.6306,0.9459,original,1.0,1.0
smc_035,2,1.03,1.03,1.02,1.0098,correct,0.7536,0.7536,0.0,0.6275,0.5049,0.7536,original,0.9714,0.9714
smc_036,7,0.975,0.48,0.96,0.5,double,0.7292,0.6061,-0.1231,0.6061,0.4615,0.7292,original,0.2,0.6338
smc_037,5,1.021,1.96,1.12,1.75,half,0.5882,0.6765,0.0882,0.3256,0.6765,0.6765,interpolate,0.0294,0.7647
smc_038,3,0.97,0.94,0.94,1.0,correct,0.7733,0.7733,0.0,0.4364,0.5133,0.7733,original,0.8205,0.8205
smc_041,5,0.8482,0.84,0.84,1.0,correct,0.9268,0.9268,0.0,0.6129,0.6179,0.9268,original,0.878,0.878
smc_042,0,1.3,0.95,1.26,0.754,correct,0.8333,0.8333,0.0,0.4651,0.5376,0.8333,original,0.6061,0.6061
smc_043,5,0.65,0.6,0.6,1.0,correct,0.8113,0.8113,0.0,0.5897,0.5466,0.8113,original,0.6964,0.6964
smc_044,0,0.7848,0.84,0.72,1.1667,correct,0.775,0.775,0.0,0.5161,0.6207,0.775,original,0.6279,0.6279
smc_046,7,0.92,0.92,0.92,1.0,correct,0.641,0.641,0.0,0.4828,0.4274,0.641,original,0.825,0.825
smc_047,2,0.6855,1.34,1.32,1.0152,correct,0.5333,0.5333,0.0,0.2857,0.7551,0.7551,interpolate,0.0196,0.8462
smc_048,2,1.788,1.62,1.5,1.08,correct,0.5,0.5,0.0,0.5,0.3284,0.5,original,0.7083,0.7083
smc_051,2,0.952,0.59,0.96,0.6146,double,0.5474,0.4242,-0.1231,0.4242,0.3816,0.5474,original,0.4483,0.4483
